"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20161009160700","Wisconsin",22,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",48,"$100,000 to $149,999",4,0,"No","Has difficulty",45,0,0,0,0,220,15,0,0,0,0,0,0,0,0,255,905,900,5,0,15,0,0,220
"20160908162472","Texas",65,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$75,000 to $99,999",2,0,"No","Has difficulty",0,0,0,0,0,840,85,0,0,0,0,0,0,0,0,0,515,500,10,5,85,0,0,840
"20161009162174","Ohio",45,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",38,"$75,000 to $99,999",3,1,"Yes","No difficulty",0,0,0,0,0,150,30,0,0,0,0,0,0,0,0,390,870,750,120,0,30,0,0,150
"20161110160726","Colorado",33,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",NA,"$100,000 to $149,999",4,2,"Yes","No difficulty",120,0,0,0,90,145,180,0,0,0,0,0,5,0,90,210,600,600,0,0,180,0,0,145
"20160505161201","Texas",68,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$60,000 to $74,999",1,0,"No","No difficulty",356,0,0,0,0,150,60,0,0,0,50,0,0,10,0,108,706,631,75,0,60,0,0,150
"20160707162042","Florida",64,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$50,000 to $59,999",2,0,"No","No difficulty",0,0,0,0,0,75,180,0,0,0,0,0,0,0,0,600,585,585,0,0,180,0,0,75
"20160302161345","Texas",49,"Female","Foreign born, not US citizen","Married","Non-Veteran","No","Employed","No","Self-employed, incorporated","No answer","Part time",5,"$30,000 to $34,999",2,0,"No","No difficulty",60,0,0,0,0,130,50,0,0,180,0,0,0,0,0,300,720,720,0,0,50,0,0,130
"20161211160523","Michigan",61,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Part time",20,"$35,000 to $39,999",3,0,"No","No difficulty",80,135,0,150,0,270,120,15,0,0,20,0,0,5,15,60,530,480,50,0,120,0,0,270
"20160112151587","New York",43,"Female","Foreign born, US citizen","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$40,000 to $49,999",5,3,"Yes","No difficulty",11,0,0,0,0,280,45,0,0,0,15,0,0,0,77,235,657,642,15,0,45,0,0,280
"20160504162188","Louisiana",62,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",35,"$35,000 to $39,999",2,0,"No","No difficulty",100,0,0,0,0,60,45,0,0,180,0,0,385,0,0,60,610,480,130,0,45,0,0,60
