"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
67,2012,"USA","SC","Male",17,"Right-Handed",176,27,185,1,"Car",10,0.25,30,"Football (American)",1000,631,241,583,786,1000,27,"Same length",94,100,"Ring finger","January","Summer","Yes","No","Meat","Sports drink",NA,7,NA,5,"Yes - broadband connection","Text messaging",300,350,7,3,2,2,2,5,4,4,2,2,0,6,"Very little","Undergraduate degree","Rhythm and blues (R&B)","Freeze time","Famous","Religious figure","Religious"
68,2015,"USA","VA","Male",17,"Left-Handed",171,25.6,168,1,"Bus",19,0.52,54,"Baseball/Softball",700,700,800,800,400,500,25,"Right foot",65,70,"Ring finger","June","Winter","No","No","Meat","Soft drink (caffeinated)","Other",8,10,3,"Yes - broadband connection","Text messaging",15,15,5,1,4,17,5,6,3,4,30,15,0,10,"A lot","Graduate degree","Rock and roll","Super strength","Rich","Relative","Arts, culture, sports"
69,2013,"USA","NC","Female",11,"Right-Handed",140,21,145,1,"Car",2,0.4,28,"Basketball",999,999,999,999,1000,1000,21,"Same length",60,60,"Same length","July","Spring","Yes","No","Pizza/Pasta","Water","Art",9,5,3,"Yes - broadband connection","Text messaging",28,26,6,1,13,11,3,4,0,2,43,23,0,12,"Very little","Graduate degree","Pop","Invisibility","Famous","Musician or singer","Arts, culture, sports"
70,2013,"USA","MA","Female",11,"Right-Handed",153,24,156,2,"Bus",10,0.36,35,"Basketball",898,802,749,914,775,1000,24,"Same length",70,80,"Ring finger","August","Summer","No","No","Desserts","Milk","Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",30,20,10,0,5,5,5,2,0,3,7,0,1,1,"Very little","Graduate degree","Country","Fly","Happy","Friend","Health"
71,2015,"USA","CA","Female",8,"Ambidextrous",129,22,128,3,"Car",5,0.83,64,"Swimming",1000,1000,1000,1000,243,399,23,"Left foot",65,68,"Ring finger","April","Fall","Yes","No","Soups","Water","History",9,10,4,"Yes - broadband connection","In person",0,8,2,1,1,3,4,1,1,1,1,1,0,1,"Very little","Less than high school","Country","Invisibility","Healthy","Relative","Education/Youth development"
72,2012,"USA","SC","Female",15,"Right-Handed",170,24,169,1,"Bus",60,0.39,42,"Soccer",800,750,550,NA,600,300,25,"Left foot",83,90,"Ring finger","February","Fall","Yes","No","Pizza/Pasta","Water","Mathematics and statistics",9,10,4,"Yes - broadband connection","In person",0,0,5,0,10,5,7,2,0,1,3,17,0,1,"Some","Graduate degree","Other","Telepathy","Happy","Teacher","Health"
73,2015,"USA","FL","Female",13,"Right-Handed",155,9,152,1,"Car",10,0.5,60,"Other",1000,1000,1000,1000,500,700,9,"Same length",NA,NA,NA,"June","Summer","Yes","No","No favorite","Tea","Art",7,12,3,"Yes - broadband connection","Cell phone",40,40,21,6,6,12,6,0,6,6,12,12,0,4,"Some","Graduate degree","Country","Freeze time","Happy","Relative","International aid"
74,2014,"USA","GU","Female",14,"Right-Handed",152,24,160,2,"Bus",15,0.42,38,"Dancing",807,610,1000,1000,310,1000,24,"Same length",80.3,70.2,"Index finger","March","Summer","No","No","Rice/Noodle dishes","Water","Physical education",8,5,4,"Yes - other","In person",7,9,8,2,3,12,3,4,12,12,12,3,0,20,"A lot","Graduate degree","Rock and roll","Freeze time","Happy","Relative","International aid"
75,2014,"USA","SC","Male",16,"Right-Handed",178,27,184,1,"Car",9,0.32,39,"Football (American)",1000,1000,1000,1000,1000,1000,27,"Same length",95,105,"Ring finger","May","Spring","No","No","Meat","Sports drink","Physical education",9,10,3,"Yes - other","Text messaging",82,106,80,2,5,30,50,2,90,80,1,7,0,5,"Some","Graduate degree","Rap/Hip hop","Telepathy","Rich","Coach or club leader","Religious"
76,2013,"USA","CA","Female",17,"Right-Handed",168,23,165,2,"Car",5,0.4,42,"Golf",600,800,800,600,900,1000,23,"Same length",90,90,"Same length","November","Summer","Yes","No","Fruit","Water","Mathematics and statistics",7,8,3,"Yes - broadband connection","In person",0,0,2,0,30,7,2,0,4,2,21,0,0,0,"Some","Some college","Rap/Hip hop","Freeze time","Happy","Relative","International aid"
77,2015,"USA","DE","Male",17,"Right-Handed",183,26,170,1,"Car",25,0.75,58,"Basketball",500,500,500,500,800,1000,26,"Same length",70,70,"Same length","December","Summer","No","No","Pizza/Pasta","Sports drink","English",6,8,4,"Yes - other","Cell phone",100,100,10,1,10,4,30,2,90,90,100,5,30,0,"A lot","Some college","Other","Fly","Happy","Relative","Health"
78,2010,"USA","GA","Female",17,"Ambidextrous",163,16.51,163,1,"Car",17,0.42,38,"Tennis",754,698,896,NA,512,672,17,"Same length",NA,NA,NA,"July",NA,"Yes","Yes","Pizza/Pasta","Water","Art",3,6,6,"Yes - broadband connection","In person",20,20,30,1,10,1,8,0,5,3,5,2,8,1,"A lot","Undergraduate degree","Other","Fly","Rich","Relative","Health"
79,2013,"USA","MI","Male",17,"Left-Handed",132,22,170,1,"Car",4,0.36,39,"Gymnastics",781,695,422,326,930,968,23,"Left foot",68,71,"Ring finger","October","Fall","No","No","Seafood","Water","History",7,12,5,"Yes - other","In person",0,0,15,1,2,8,8,0,3,0,14,10,0,14,"Very little","Graduate degree","Pop","Fly","Happy","Coach or club leader","International aid"
80,2014,"USA","SC","Male",15,"Right-Handed",152,27,188,2,"Bus",38,0.3,36,"Other",9,500,1000,499,100,300,28,"Left foot",100,90,"Index finger","May","Fall","Yes","No","Meat","Sports drink","Mathematics and statistics",5,11,4,"Yes - broadband connection","In person",0,0,10,1,14,4,12,40,2,1,30,0,0,3,"Some","Graduate degree","Rap/Hip hop","Freeze time","Happy","Relative","Religious"
81,2015,"USA","CA","Male",13,"Right-Handed",170,17,147,2,"Car",15,0.39,42,"Soccer",200,40,500,1000,500,680,17,"Same length",NA,NA,NA,"August","Summer","No","No","Meat","Powdered drink","Art",9,7,4,"Yes - broadband connection","Cell phone",0,0,6,0,1,4,2,4,1,0,1,2,0,0,"A lot","Graduate degree","Rock and roll","Freeze time","Rich","Actor","Health"
82,2010,"USA","SC","Female",17,"Right-Handed",154,24,164,2,"Car",3,0.45,45,"None",100,300,200,NA,1000,1000,25,"Left foot",71,70,"Index finger","November","Fall","No","No","Desserts","Milk","Other",6,8,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,0,0,1,2,0,3,1,1,4,4,0,3,"None","Graduate degree","Other","Telepathy","Happy","Relative","International aid"
83,2015,"USA","CA","Male",14,"Right-Handed",139,20,139,1,"Car",10,0.42,49,"Golf",1000,1000,1000,1000,508,508,20,"Same length",NA,NA,NA,"April","Summer","Yes","No","No favorite","Water","Other",11,9,3,"Yes - broadband connection","In person",0,0,31,2,10,9,7,5,0,1,10,4,0,3,"A lot","Other","Rock and roll","Freeze time","Rich","Relative","Wildlife, animals"
84,2013,"USA","HI","Female",16,"Right-Handed",158,22,159,2,"Bus",60,0.39,40,"Other",1000,150,100,120,5,3,23,"Left foot",80,75,"Index finger","September","Summer","No","No","No favorite","Water","Languages",6,10,5,"Yes - broadband connection","Text messaging",50,85,7,0,3,3,2,0,6,10,4,1,0,2,"Some","Graduate degree","Pop","Fly","Famous","Musician or singer","International aid"
85,2015,"USA","CO","Male",17,"Left-Handed",194,23,167,1,"Car",5,0.39,37,"Other",876,304,678,523,943,950,23,"Same length",82,87,"Ring finger","August","Fall","No","No","Seafood","Milk","History",7,10,3,"Yes - other","Text messaging",0,0,0,0,15,10,5,1,1,10,20,20,0,2,"Some","Undergraduate degree","Other","Invisibility","Famous","Teacher","Education/Youth development"
86,2013,"USA","UT","Female",14,"Right-Handed",165,18,164,2,"Car",5,0.47,40,"Gymnastics",300,300,400,300,500,800,19,"Left foot",80,80,"Same length","May","Summer",NA,"Yes","Meat","Water","Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",60,70,40,4,2,2,10,1,4,6,10,10,0,0,"Very little","Graduate degree","Rock and roll","Telepathy","Happy","Teacher","Wildlife, animals"
87,2015,"USA","NC","Female",17,"Right-Handed",162,24,158,1,"Car",10,0.35,31,"Dancing",800,700,600,600,900,1000,25,"Left foot",75,72,"Index finger","January","Fall","No","No","Pizza/Pasta","Water","History",5,9,3,"Yes - broadband connection","In person",2,1,1,2,9,5,13,4,20,1,40,4,14,3,"A lot","Graduate degree","Classical","Invisibility","Happy","Actor","International aid"
88,2013,"USA","SC","Female",16,"Right-Handed",163,24.3,166,2,"Car",8,0.73,41,"Soccer",990,800,850,900,600,700,24,"Right foot",76,66,"Index finger","November","Summer","No","No","Pizza/Pasta","Water","English",9,6,2,"Yes - other","Text messaging",200,205,31,1,7,10,7,0,4,7,4,7,0,4,"A lot","Graduate degree","Rock and roll","Invisibility","Happy","Business person","Health"
89,2014,"USA","CO","Female",16,"Right-Handed",169,23,174,1,"Car",7,0.31,44,"Athletics",900,800,950,850,950,950,24,"Left foot",90,90,"Same length","March","Spring","Yes","No","Desserts","Water","Science",6,10,2,"Yes - broadband connection","Text messaging",200,203,10,1,15,5,14,1,1,2,2,6,0,3,"A lot","Graduate degree","Rap/Hip hop","Fly","Happy","Business person","Arts, culture, sports"
90,2013,"USA","WI","Female",13,"Right-Handed",162,21,160,2,"Car",20,0.38,42,"Other",30,400,10,20,1000,1000,22,"Left foot",80,70,"Index finger","June","Summer","No","No","Fruit","Juice","Science",6,5,6,"Yes - broadband connection","Text messaging",350,350,20,4,1,3,8,2,1,30,2,3,0,1,"Some","Graduate degree","Rap/Hip hop","Freeze time","Famous","Doctor or nurse","Health"
91,2015,"USA","CA","Male",11,"Ambidextrous",138,25,138,1,"Car",17,0.57,17,"Football (American)",1000,1000,1000,995,270,750,25,"Same length",NA,NA,NA,"December","Fall","Yes","No","Fruit","Water","Art",10,NA,4,"Yes - other","In person",0,0,9,0,0,5,4,1,0,0,2,3,1,2,"None","Graduate degree","Other","Invisibility","Healthy","Relative","Religious"
92,2015,"USA","VT","Male",16,"Left-Handed",184,31,193,2,"Car",10,0.58,38,"Football (American)",800,700,600,500,0,1000,30,"Right foot",90,80,"Index finger","May","Spring","No","No","Fruit","Water","Physical education",7,9.5,3,"Yes - broadband connection","Text messaging",100,120,10,1,11,5,18,2,2,5,11,3,3,2,"Some","Graduate degree","Rap/Hip hop","Super strength","Healthy","Sports person","Health"
93,2011,"USA","WY","Male",14,"Right-Handed",168,27,180,2,"Car",20,0.34,30,"Hockey (Ice)",16,23,11,NA,1000,1000,27,"Same length",91,93,"Ring finger","June","Summer","No","No","Other","Soft drink (caffeinated)","Physical education",11,9,4,"Yes - dial-up connection","Text messaging",12,30,9,1,0,2,5,2,1,0,3,2,0,0,"None","Some college","Other","Super strength","Rich","Relative","Other"
94,2013,"USA","OH","Female",17,"Right-Handed",180,24.3,171,1,"Car",7,0.28,33,"Other",490,460,840,840,350,340,25,"Left foot",80,79,"Index finger","October","Summer","No","No","Desserts","Water","Art",9,12,4,"Yes - broadband connection","In person",20,20,14,0,5,1,1,0,3,1,14,3,13,1,"A lot","Undergraduate degree","Pop","Invisibility","Happy","Relative","Wildlife, animals"
95,2015,"USA","VA","Male",17,"Right-Handed",183,30.48,187,1,"Bus",20,0.52,46,"Table Tennis",850,500,500,500,500,500,29,"Right foot",NA,NA,NA,"November","Fall","No","No","Seafood","Tea","Science",5,8,2,"Yes - broadband connection","Cell phone",0,1,12,1,5,10,14,3,0,1,20,20,25,2,"Some","Graduate degree","Rap/Hip hop","Freeze time","Rich","Relative","Health"
96,2015,"USA","CA","Male",17,"Right-Handed",174,26,170,4,"Car",10,0.84,52,"Soccer",600,800,900,700,1000,1000,26,"Same length",75,79,"Ring finger","May","Summer","No","No","Meat","Water","Music",5,10,4,"Yes - broadband connection","Text messaging",115,150,5,1,10,5,8,0,4,5,10,6,0,2,"Some","Graduate degree","Jazz","Invisibility","Happy","Sports person","Health"
97,2015,"USA","CA","Male",11,"Right-Handed",149,22,132,1,"Car",5,0.33,59,"Soccer",1000,700,1000,200,0,1000,21,"Right foot",90,90,"Same length","August","Summer","No",NA,"Pizza/Pasta","Milk","Physical education",9,11,4,"Yes - broadband connection","Text messaging",3,1,15,0,40,15,50,20,20,40,10,70,0,5,"Very little","Graduate degree","Other","Freeze time","Rich","Sports person","Wildlife, animals"
98,2014,"USA","IA","Female",16,"Right-Handed",175,25,168,1,"Car",3,0.36,38,"None",1,5,5,10,500,1000,25,"Same length",70,70,"Same length","April","Spring","No","No","Meat","Water","Physical education",7,11,4,"Yes - other","Text messaging",23,20,52,1,2,1,2,0,15,15,10,2,0,1,"A lot","Some college","Pop","Telepathy","Rich","Doctor or nurse","International aid"
99,2014,"USA","IN","Male",15,"Right-Handed",185,28,193,1,"Bus",25,0.6,42,"Running/Jogging",700,800,450,400,900,900,30,"Left foot",95,93,"Index finger","October","Winter","Yes","No","Rice/Noodle dishes","Water","Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",20,20,13,1,10,9,5,20,0,3,20,5,0,3,"Some","Graduate degree","Techno/Electronic","Telepathy","Happy","Friend","Health"
100,2015,"USA","SC","Female",17,"Right-Handed",160,23,158,3,"Car",4,0.61,36,"Martial Arts",850,850,700,700,200,200,23,"Same length",70,70,"Same length","October","Spring","Yes","No","Poultry","Juice","History",6,9,5,"Yes - broadband connection","Text messaging",131,87,6,0,4,6,6,2,1,8,6,6,10,2,"Some","Other","Rap/Hip hop","Freeze time","Happy","Relative","International aid"
101,2010,"USA","UT","Female",14,"Right-Handed",156,24,157,1,"Car",5,0.36,57,"Walking/Hiking",561,561,374,NA,59,5,24,"Same length",90,100,"Ring finger","August","Spring","Yes","Yes","Rice/Noodle dishes","Water","Other",7,NA,3,"No internet connection","In person",150,250,50,13,10,7,7,5,0,6,2,6,6,2,"A lot","Graduate degree","Heavy metal","Telepathy","Happy","Actor","Arts, culture, sports"
102,2015,"USA","GA","Male",16,"Left-Handed",160,25,169,1,"Car",20,0.29,34,"Lacrosse",422,385,726,615,855,1000,25,"Same length",80,85,"Ring finger","March","Winter","Yes","No","Meat","Water","Other",9,11,4,"Yes - other","Text messaging",20,20,8,0,26,21,10,17,1,1,3,3,0,1,"Some","Other","Rap/Hip hop","Fly","Happy","Relative","Arts, culture, sports"
103,2013,"USA","WA","Male",17,"Right-Handed",167,30,167,1,"Bus",15,0.28,39,"Basketball",1,8,24,4,1000,1000,30,"Same length",80,76,"Index finger","November","Spring","No","No","Meat","Water","Other",9,7,4,"Yes - other","Text messaging",137,141,4,2,0,1,0,12,1,21,14,21,3,4,"Very little","Some college","Pop","Freeze time","Famous","Actor","Wildlife, animals"
104,2015,"USA","FL","Male",11,"Right-Handed",156,21,156,1,"Car",10,0.46,40,"Tennis",417,679,684,37,1000,1000,22,"Left foot",60,60,"Same length","November","Summer","No","No","Pizza/Pasta","Milk","History",8,7,2,"Yes - broadband connection","Text messaging",0,0,0,1,1,1,1,3,0,0,3,0,0,0,"Very little","Undergraduate degree","Pop","Freeze time","Happy","Relative","Education/Youth development"
105,2013,"USA","SC","Female",17,"Right-Handed",158,24,161,2,"Car",5,0.36,34,"Other",10,10,10,10,1000,1000,24,"Same length",80.5,90,"Ring finger","January","Summer","No","No","Salads","Tea","History",9,12,5,"Yes - broadband connection","Text messaging",10,20,0,0,10,20,5,5,5,50,50,2,35,5,"Very little","Graduate degree","Country","Telepathy","Happy","Friend","Health"
106,2014,"USA","WI","Male",17,"Right-Handed",180,24,189,2,"Car",6,0.36,50,"Soccer",652,647,508,588,1000,1000,24,"Same length",80,80,"Same length","February","Fall","No","No","Meat","Water","Social studies",7,10,5,"Yes - broadband connection","Text messaging",4,4,10,1,15,10,5,10,1,70,7,7,0,4,"Some","Graduate degree","Techno/Electronic","Super strength","Happy","Business person","Health"
107,2015,"USA","MA","Female",17,"Right-Handed",167,9,167,1,"Walk",0,0.39,50,"Lacrosse",1000,1000,1000,1000,1000,1000,9,"Same length",NA,NA,NA,"March","Summer","No","No","No favorite","Tea","History",8,10,3,"Yes - broadband connection","Text messaging",200,200,80,0,20,0,12,0,4,30,30,3,0,0,"Very little","Graduate degree","Pop","Fly","Happy","Business person","Arts, culture, sports"
108,2013,"USA","MI","Male",17,"Right-Handed",175,25,176,1,"Car",7,0.36,40,"Soccer",1000,900,900,650,150,150,25,"Same length",90,89,"Index finger","January","Fall","No","No","Pizza/Pasta","Water","Science",8,10,5,"Yes - broadband connection","Text messaging",150,0,15,1,2,2,15,1,3,3,2,2,0,1,"Some","Graduate degree","Country","Fly","Happy","Business person","Wildlife, animals"
109,2013,"USA","SC","Male",16,"Right-Handed",186,33,229,9,"Car",10,0.66,44,"Soccer",2,2,2,2,2,2,33,"Same length",100,100,"Same length","December","Fall","No","No","Pizza/Pasta","Milk","Mathematics and statistics",6,13,2,"Yes - dial-up connection","Cell phone",3,9,10,1,1,3,25,10,10,1,75,50,0,2,"Very little","Some college","Other","Freeze time","Happy","Relative","Wildlife, animals"
110,2010,"USA","UT","Male",15,"Ambidextrous",170,25,170,1,"Bus",5,0.52,32,"Tennis",666,670,679,NA,100,100,26,"Left foot",75,100,"Ring finger","June","Winter","Yes","No","Rice/Noodle dishes","Soft drink (caffeinated)","Other",7,9,3,"Yes - broadband connection","In person",0,0,30,2,7,3,2,4,6,1,16,7,0,11,"Some","Graduate degree","Country","Fly","Happy","Relative","Education/Youth development"
111,2015,"USA","PA","Male",11,"Right-Handed",147,24,145,1,"Bus",10,0.39,54,"Running/Jogging",301,310,305,481,807,866,24,"Same length",65,67,"Ring finger","February","Spring","No","No","Pizza/Pasta","Juice","Physical education",9,10,4,"Yes - broadband connection","In person",0,0,5,0,2,6,5,4,0,0,5,7,0,1,"Very little","Undergraduate degree","Other","Invisibility","Happy","Relative","Wildlife, animals"
112,2013,"USA","RI","Female",12,"Right-Handed",154,22,157,1,"Car",20,0.47,53,"Tennis",914,743,802,1000,540,550,23,"Left foot",72,75,"Ring finger","June","Summer","Yes","No","Fruit","Water","Languages",9,12,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",3,2,7,2,5,5,4,0,3,1,2,2,1,2,"A lot","Graduate degree","Country","Fly","Happy","Teacher","Health"
113,2015,"USA","VA","Male",17,"Left-Handed",166,30,153,2,"Car",15,0.48,41,"Soccer",800,750,750,750,700,800,30,"Same length",62,71,"Ring finger","June","Spring","No","No","Poultry","Water","Science",4,11,4,"Yes - broadband connection","Text messaging",40,50,15,3,1,8,8,8,1,10,12,5,0,2,"A lot","Less than high school","Rhythm and blues (R&B)","Fly","Happy","Friend","Environment"
114,2011,"USA","VA","Female",17,"Right-Handed",173,24,160,1,"Car",7,0.36,37,"Other",610,465,166,NA,845,829,24,"Same length",71,74,"Ring finger","March","Spring","No","No","Meat","Water","Mathematics and statistics",6,NA,4,"Yes - broadband connection","In person",75,75,6,2,15,5,12,0,3,2,10,6,4,3,"Some","Graduate degree","Other","Fly","Happy","Coach or club leader","Health"
