"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-11-01 13:24:00,250,5,25,25,30,13,"Unhealthy",1,"Milk chocolate, sugar, milk","M&M","Sweet"
2013-10-22 09:45:00,180,4,50,25,29,7,"Neither healthy nor unhealthy",5,"DARK CHOCOLATE, SUGAR, UNSWEETENED CHOCOLATE","Dark Chocolate with blueberry","Sweet"
2013-10-02 09:44:00,320,3,510,1,25,22,"Unhealthy",1,"Enriched corn meal, vegetable oil, & hot lemon","Hot Cheetos lemon","Salty"
2013-09-16 20:42:00,160,2,150,2,15,10,"Neither healthy nor unhealthy",1,"Potatoes, Vegetable oil, BBQ seasoning","Barbecue Lays","Salty"
2013-10-09 15:40:00,150,3,420,0,17,70,"Slightly Unhealthy",2,"corn masa flour, soybean and/or palm and/or cabola, iodized salt","takis","Sweet"
2013-10-09 18:52:00,140,1,280,1,18,6,"Slightly Unhealthy",1,"Degerminated Yellow Corn Meal, Vegetable Oil, Whey","Harvest Road Baked Crunchy Curls","Salty"
2013-10-10 09:41:00,280,5,200,18,38,13,"Unhealthy",1,"Flour, semisweet chocolate, sugar","Famous amos","Sweet"
2013-09-26 18:03:00,140,0,45,31,39,0,"Neither healthy nor unhealthy",1,"Caramel color, carbonated water, high fructose","Coca cola","Sweet"
2013-11-11 19:11:00,530,5,800,21,53,22,"Neither healthy nor unhealthy",1,"chicken drumstick, salt, vegtable oil","fried chicken kid cuisine","Salty"
2013-10-05 13:45:00,140,4,480,1,4,11,"Slightly Unhealthy",1,"beef,pork,mechanically separated chickenchicken","pepperoni slim jim","Salty"
2013-10-05 23:06:00,130,3,50,16,21,4,"Slightly Unhealthy",1,"milk, sugar, corn syrup","cookies and cream ice cream","Sweet"
2013-11-11 19:04:00,150,1,360,1,23,6,"Neither healthy nor unhealthy",9,"potatoe, vegtable oil, modified food starch","curly fries","Salty"
2013-09-24 17:03:00,130,0,120,10,27,15,"Slightly Unhealthy",1,"rolled iats, sugar, dehydrated apples","oatmeal","Sweet"
2013-10-10 11:03:00,220,2,200,20,37,7,"Neither healthy nor unhealthy",2,"Flour, sugar, water","Chocolate chip cookie","Salty"
2013-10-10 09:22:00,280,5,200,18,38,5,"Neither healthy nor unhealthy",1,"enriched flour, vegetable oil, reduced iron","chocolate chips","Salty"
2013-10-10 08:12:00,50,0,8,13,13,0,"Unhealthy",1,"Vitamin A vitamin C calcium","Vitamin water","Salty"
2013-10-08 13:16:00,200,1,210,13,42,2,"Neither healthy nor unhealthy",1,"brownie mix, enriched wheat flour, dry egg whites","brownie","Sweet"
2013-10-26 17:05:00,80,5,15,0,1,8,"Neither healthy nor unhealthy",1,"Modified food starch,kosher gelatin,guar gum","Mexican style sour cream","Salty"
