Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-04-23 14:00:00+00:00,Beijing,683.0,74.4,34.5,0.0,36.8,53.8,Industrial
2024-05-30 21:00:00+00:00,Beijing,223.0,25.7,10.5,39.0,13.0,19.8,Industrial
2024-01-23 10:00:00+00:00,Beijing,497.0,42.8,26.2,34.0,26.8,38.3,Industrial
2024-01-14 09:00:00+00:00,Beijing,959.0,64.2,62.9,5.0,67.1,95.9,Industrial
2024-07-20 03:00:00+00:00,Beijing,610.0,37.3,45.0,218.0,64.7,92.4,Industrial
2024-09-16 00:00:00+00:00,Beijing,1352.0,63.2,83.2,6.0,87.3,124.8,Industrial
2024-07-08 10:00:00+00:00,Beijing,527.0,44.5,18.5,129.0,68.7,103.4,Industrial
2024-08-09 13:00:00+00:00,Beijing,541.0,59.5,24.5,51.0,22.9,32.8,Industrial
2024-09-21 03:00:00+00:00,Beijing,196.0,9.0,4.6,75.0,4.4,6.2,Industrial
2024-01-02 13:00:00+00:00,Beijing,1759.0,61.2,105.7,2.0,112.9,162.5,Industrial
2024-04-10 12:00:00+00:00,Beijing,1750.0,57.5,102.5,0.0,139.7,209.1,Industrial
2024-05-17 13:00:00+00:00,Beijing,607.0,75.6,35.7,89.0,61.5,88.7,Industrial
2024-10-22 23:00:00+00:00,Beijing,1849.0,29.5,72.2,1.0,114.1,165.8,Industrial
2024-09-05 11:00:00+00:00,Beijing,1244.0,70.2,41.2,13.0,79.2,113.2,Industrial
2024-01-21 07:00:00+00:00,Beijing,253.0,10.4,7.0,60.0,5.2,7.4,Industrial
2024-12-09 13:00:00+00:00,Beijing,5265.0,66.8,161.3,0.0,189.1,190.0,Industrial
2024-06-01 18:00:00+00:00,Beijing,503.0,73.9,26.9,10.0,42.3,60.5,Industrial
2024-08-15 14:00:00+00:00,Beijing,1783.0,147.7,78.5,1.0,163.9,236.1,Industrial
2024-05-06 03:00:00+00:00,Beijing,300.0,13.2,8.3,101.0,24.2,35.3,Industrial
2024-09-29 05:00:00+00:00,Beijing,727.0,68.9,64.2,28.0,69.8,106.9,Industrial
2024-03-13 01:00:00+00:00,Beijing,1038.0,50.7,55.7,14.0,78.2,112.2,Industrial
2024-01-22 05:00:00+00:00,Beijing,287.0,8.1,10.9,65.0,6.9,9.9,Industrial
2024-09-23 01:00:00+00:00,Delhi,769.0,31.6,17.7,53.0,61.9,96.4,Industrial
2024-03-03 00:00:00+00:00,Delhi,349.0,16.7,14.7,34.0,34.3,55.3,Industrial
2024-09-29 11:00:00+00:00,Delhi,453.0,23.3,16.6,127.0,22.3,32.6,Industrial
2024-05-11 09:00:00+00:00,Delhi,391.0,5.0,20.3,235.0,61.2,155.5,Industrial
2024-01-21 16:00:00+00:00,Delhi,1400.0,54.6,42.8,52.0,96.2,142.0,Industrial
2024-05-22 14:00:00+00:00,Delhi,521.0,23.4,22.1,144.0,49.6,138.8,Industrial
2024-01-04 23:00:00+00:00,Delhi,1642.0,21.8,19.8,42.0,121.5,175.1,Industrial
2024-06-03 14:00:00+00:00,Delhi,708.0,52.5,19.9,87.0,52.5,187.7,Industrial
2024-05-26 14:00:00+00:00,Delhi,657.0,44.7,20.1,95.0,45.9,161.6,Industrial
2024-01-14 06:00:00+00:00,Delhi,1114.0,20.0,30.6,156.0,86.6,127.6,Industrial
2024-06-13 20:00:00+00:00,Delhi,240.0,13.2,8.2,92.0,44.6,156.0,Industrial
2024-09-07 11:00:00+00:00,Delhi,313.0,9.0,28.6,211.0,32.2,46.3,Industrial
2024-08-15 09:00:00+00:00,Delhi,294.0,6.8,19.5,175.0,26.5,38.0,Industrial
2024-03-07 11:00:00+00:00,Delhi,355.0,13.3,15.8,131.0,31.2,72.4,Industrial
2024-08-18 05:00:00+00:00,Delhi,335.0,10.7,15.2,135.0,30.0,52.2,Industrial
2024-11-17 03:00:00+00:00,Delhi,1729.0,38.7,29.1,39.0,150.4,154.6,Industrial
2024-03-11 21:00:00+00:00,Delhi,633.0,21.8,20.3,55.0,55.9,86.8,Industrial
2024-03-13 02:00:00+00:00,Delhi,1034.0,38.5,22.2,30.0,59.6,122.0,Industrial
