"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"16 years old","Male","11th grade","No","White",1.65,55.34,"Always wore a helmet","Always","0 days",NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","7 days","1 day","Less than 1 hour per day","4 hours per day","0 teams","No","7 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.65,54.43,"Never wore a helmet","Always","10 to 19 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 time per day","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","4 days","No TV on average school day","2 hours per day","2 teams","Yes","7 hours","Did not drink sports drink","3 times per day","3 times"
"16 years old","Male","11th grade","No","White",NA,NA,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","bisexual","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","1 to 3 times","4 or more glasses per day","7 days","0 days","5 or more hours per day","5 or more hours per day","1 team","No","4 or less hours","Did not drink sports drink","3 times per day","0 times"
"18 years old or older","Male","12th grade","No","White",1.68,72.58,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","4 to 6 glasses","6 days","2 days","5 or more hours per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","4 to 6 times","0 times"
"15 years old","Male","9th grade","No","Black or African American",1.85,73.94,"Never wore a helmet","Most of the time","0 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","4 days","7 days","1 hour per day","Less than 1 hour per day","3 or more teams","No","5 hours","2 times per day","1 to 3 times","0 times"
"14 years old","Female","9th grade","No","White",1.73,72.58,"Never wore a helmet","Always",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 time per day","4 to 6 times","Did not eat green salad","Did not drink soda or pop","4 to 6 glasses","7 days","2 days","1 hour per day","3 hours per day","0 teams","No","9 hours","1 to 3 times","2 times per day","5 or more times"
"14 years old","Female","9th grade","No","Black or African American",1.63,56.7,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 time per day","1 time per day","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","6 days","3 days","3 hours per day","1 hour per day","3 or more teams","Yes","6 hours","1 to 3 times","4 to 6 times","1 times"
"16 years old","Female","10th grade","No","White",1.68,60.78,"Never wore a helmet","Always","10 to 19 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","1 time per day","Did not drink soda or pop","2 glasses per day","7 days","7 days","No TV on average school day","No playing video/computer game","2 teams","No","7 hours","1 to 3 times","3 times per day","5 or more times"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.52,42.64,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","2 times per day","2 times per day","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","2 days","5 days","1 hour per day","No playing video/computer game","2 teams","No","7 hours",NA,NA,NA
"16 years old","Female","10th grade","No","White",1.68,63.96,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times","Did not drink milk","0 days","1 day","2 hours per day","No playing video/computer game","2 teams","Not sure","8 hours","Did not drink sports drink","1 to 3 times","0 times"
"17 years old","Female","12th grade","No","White",1.7,72.58,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 time per day","1 to 3 times","Did not drink soda or pop","2 glasses per day","7 days","3 days","No TV on average school day","5 or more hours per day","1 team","No","7 hours","Did not drink sports drink","4 or more times per day","1 times"
"18 years old or older","Male","12th grade","No","Black or African American",1.83,84.82,"Did not ride a bicycle","Most of the time","1 or 2 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","2 times per day","4 to 6 glasses","5 days","7 days","2 hours per day","1 hour per day","2 teams","No","7 hours","4 or more times per day","3 times per day","0 times"
"16 years old","Female","11th grade","Yes","Hispanic/Latino",1.73,100.7,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","1 or 2 days","bisexual","Very overweight","4 to 6 times","1 to 3 times","1 to 3 times","4 to 6 times","1 to 3 glasses","2 days","0 days","4 hours per day","5 or more hours per day","0 teams","No","6 hours","1 to 3 times","4 to 6 times","0 times"
"15 years old","Male","10th grade","No","White",1.75,75.3,"Most of the time wore a helmet","Always","I did not drive the past 30 days","2 or 3 times","Yes","Yes","Yes","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","1 to 3 times","4 to 6 times","2 glasses per day","2 days","5 days","3 hours per day","4 hours per day","1 team","Yes","9 hours","1 to 3 times","2 times per day","2 times"
"18 years old or older","Female","12th grade","No","Multiple - Non-Hispanic",1.75,94.35,NA,NA,"3 to 5 days",NA,"No","No","Yes","All 30 days","1 or 2 days","bisexual","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times",NA,NA,"0 days","2 hours per day","5 or more hours per day",NA,"No","6 hours",NA,NA,NA
"18 years old or older","Male","12th grade","Yes","Hispanic/Latino",1.68,72.58,"Never wore a helmet","Never","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","Did not drink soda or pop","4 to 6 glasses","1 day","7 days","1 hour per day","Less than 1 hour per day","2 teams","No","6 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.7,58.97,NA,"Always","I did not drive the past 30 days","0 times","No","No","No","0 days",NA,NA,"About the right weight","Did not drink fruit juice","2 times per day","1 to 3 times","Did not drink soda or pop",NA,"0 days","1 day","2 hours per day","No playing video/computer game",NA,NA,"7 hours",NA,"Did not drink water",NA
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.57,69.4,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","1 glass per day","6 days","2 days","3 hours per day","5 or more hours per day","1 team","No","5 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.75,67.13,"Never wore a helmet","Always","6 to 9 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","4 to 6 times","2 times per day","Did not drink soda or pop","4 to 6 glasses","4 days","5 days","Less than 1 hour per day","No playing video/computer game","2 teams","No","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"17 years old","Male","12th grade","No","Asian",1.7,47.63,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Very underweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","2 days","2 days","Less than 1 hour per day","2 hours per day","0 teams","No","6 hours","Did not drink sports drink","4 to 6 times","0 times"
"14 years old","Female","9th grade","No","White",1.65,58.97,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","0 days","5 days","1 hour per day","5 or more hours per day","2 teams","No","6 hours","Did not drink sports drink","3 times per day","2 times"
"16 years old","Female","10th grade","No","Multiple - Non-Hispanic",1.68,64.86,"Did not ride a bicycle","Most of the time","3 to 5 days","1 time","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","2 times per day","Did not eat green salad","4 to 6 times","Did not drink milk","3 days","2 days","3 hours per day","No playing video/computer game","0 teams","Yes","6 hours","1 time per day","4 or more times per day","0 times"
"15 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.63,50.8,"Did not ride a bicycle","Always","0 days","1 time","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","2 times per day","1 time per day","1 to 3 times","1 time per day","1 glass per day","4 days","3 days","Less than 1 hour per day","Less than 1 hour per day","1 team",NA,"6 hours",NA,NA,NA
"16 years old","Male","11th grade","Yes","Multiple - Hispanic / Latino",1.7,52.16,"Never wore a helmet","Always","All 30 days","12 or more times","No","No","No",NA,NA,"Not sure","Very overweight","4 or more times per day","4 or more times per day","4 or more times per day","4 or more times per day","4 or more glasses per day","7 days","7 days","5 or more hours per day","5 or more hours per day","3 or more teams",NA,"10 or more hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.83,68.04,"Sometimes wore a helmet","Always","3 to 5 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","2 times per day","2 glasses per day","7 days","2 days","2 hours per day","Less than 1 hour per day","1 team","Yes","8 hours","Did not drink sports drink","1 time per day","1 times"
"15 years old","Female","10th grade","No","White",1.6,61.24,NA,NA,"I did not drive the past 30 days",NA,"Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","4 to 6 times","3 times per day",NA,NA,"6 days","5 or more hours per day","5 or more hours per day",NA,"No","6 hours",NA,NA,NA
"17 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.32,50.8,"Rarely wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 to 3 times","Did not eat green salad","1 time per day","2 glasses per day","0 days","4 days","No TV on average school day","Less than 1 hour per day","0 teams",NA,"7 hours",NA,NA,NA
"16 years old","Male","11th grade","No","Asian",1.68,63.5,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Gay or lesbian","Very overweight","4 to 6 times","2 times per day","2 times per day","1 time per day","4 to 6 glasses","7 days","0 days","No TV on average school day","5 or more hours per day","0 teams","Yes","4 or less hours",NA,NA,NA
"16 years old","Female","10th grade","Yes","Hispanic/Latino",1.6,51.71,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 to 6 times","Did not drink milk","6 days","2 days","3 hours per day","3 hours per day","0 teams","No","8 hours","Did not drink sports drink","4 to 6 times","2 times"
"15 years old","Male","9th grade","No","White",1.9,104.33,"Never wore a helmet","Most of the time","10 to 19 days","4 or 5 times","No","No","Yes","1 or 2 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","4 to 6 times","4 to 6 glasses","6 days","6 days","1 hour per day","2 hours per day","1 team","No","8 hours","Did not drink sports drink","4 or more times per day","2 times"
