"caseid","V1","V2","V3","V4","V5","V6","V7"
"20161211162407","61","01","Full time","01","495","0","279"
"20161110160754","25","01","Full time","01","330","0","384"
"20161210161902","80","02","No answer","02","300","0","1020"
"20160301162234","60","02","No answer","01","450","0","383"
"20160201161693","51","01","Full time","01","510","0","403"
"20160201161097","78","01","No answer","01","540","0","359"
"20160301161325","16","02","No answer","02","690","60","300"
"20160111151181","16","02","Part time","01","410","110","70"
"20160908161109","71","01","Full time","01","465","0","300"
"20160908161485","62","01","Full time","01","590","0","435"
"20160605162007","61","02","No answer","01","510","0","553"
"20160202162057","76","02","No answer","02","640","0","305"
"20160302162354","34","01","Full time","01","515","0","150"
"20161110161834","60","02","Full time","01","300","0","180"
"20161009161194","69","02","No answer","02","525","0","857"
"20161211162058","26","01","Full time","01","540","0","120"
"20160403160893","30","02","No answer","01","481","0","82"
"20160112151558","43","02","Full time","01","780","0","180"
"20160403162509","37","02","No answer","01","600","0","125"
"20160112152128","15","01","No answer","01","915","0","435"
"20160907161664","34","01","Full time","01","415","0","594"
"20160705161533","51","02","No answer","02","665","0","300"
"20160807161987","78","02","No answer","02","460","0","570"
"20160112152023","43","02","Full time","01","435","0","289"
"20160111151131","44","02","Full time","01","510","0","435"
"20160302161357","39","02","Full time","01","500","0","0"
"20160404161110","45","01","Full time","01","400","0","165"
"20160604162139","41","01","Full time","01","335","0","85"
"20160504161971","65","02","Part time","01","490","0","165"
"20160302161850","70","01","No answer","01","525","0","570"
"20161109161407","56","02","Full time","01","450","0","53"
"20160202160857","33","01","Full time","01","405","0","219"
"20160807161065","38","02","Full time","01","360","0","245"
"20160504161048","60","01","Full time","01","448","0","306"
"20160201161434","47","01","Full time","01","478","0","165"
"20160112152198","60","02","Part time","01","570","0","55"
"20160302161758","39","01","Full time","01","540","0","105"
"20160302161346","49","02","Full time","01","390","0","180"
"20160504160142","44","01","No answer","02","620","0","500"
"20160403160919","39","01","Full time","01","540","0","209"
"20160504162461","61","01","Full time","01","450","0","258"
"20160807161678","29","02","Part time","01","380","0","840"
"20161212161694","62","02","No answer","02","540","0","280"
"20160706161133","64","02","No answer","01","350","0","415"
"20160504161179","60","02","No answer","01","540","0","395"
"20160908162373","56","01","Full time","01","230","0","60"
"20160201161034","49","01","Full time","01","285","60","30"
"20160605160664","57","02","Full time","01","570","0","570"
"20161211160614","79","02","No answer","02","480","0","330"
"20160908161940","20","02","Part time","01","495","0","0"
"20160605160678","57","01","Full time","01","398","0","268"
"20160112150011","34","01","Full time","01","445","0","245"
"20161009161876","74","02","Part time","01","555","0","570"
"20160402161365","22","01","Part time","01","480","0","150"
"20161211161046","64","02","No answer","01","420","0","430"
"20160605161719","47","02","Full time","01","500","0","420"
"20160403162495","47","01","Full time","01","345","0","125"
"20160212151034","70","01","No answer","01","615","0","413"
"20161009160700","22","01","Full time","02","900","0","220"
"20160908162472","65","01","No answer","02","500","0","840"
"20161009162174","45","02","Full time","01","750","0","150"
"20161110160726","33","01","Full time","01","600","0","145"
"20160505161201","68","02","No answer","01","631","0","150"
"20160707162042","64","01","No answer","01","585","0","75"
"20160302161345","49","02","Part time","01","720","0","130"
"20161211160523","61","02","Part time","01","480","0","270"
"20160112151587","43","02","No answer","01","642","0","280"
"20160504162188","62","02","Full time","01","480","0","60"
"20160706162318","27","02","Part time","01","780","0","284"
"20160302162388","80","02","Part time","01","705","0","460"
"20160908161716","30","02","Full time","01","660","0","330"
"20161009160505","17","01","No answer","02","510","13","345"
"20161211162084","42","01","Full time","01","505","0","30"
"20160112151756","35","02","Full time","01","743","0","180"
"20160112150949","60","02","No answer","01","540","0","430"
"20160605162013","75","01","No answer","01","606","0","255"
"20161009162401","31","01","Full time","01","570","0","250"
"20160303160655","85","02","No answer","02","615","0","570"
"20161009160617","62","02","Full time","01","390","0","90"
"20160908161827","64","02","Part time","01","610","0","355"
"20160808160554","80","02","No answer","01","580","0","490"
"20161110160515","60","01","Full time","01","630","0","155"
"20160908161450","32","01","Full time","01","780","0","360"
"20160201162001","72","01","No answer","01","540","0","422"
"20160706162076","45","01","Full time","01","380","0","280"
"20160112152493","34","02","Full time","01","270","0","150"
